type,map,status,progress_1,progress_2,heroes,hero_1,hero_2,hero_3,hero_4,hero_5,hero_6,hero_7,hero_8,hero_9,hero_10,hero_11,hero_12,health_1,health_2,health_3,health_4,health_5,health_6,health_7,health_8,health_9,health_10,health_11,health_12,ult_1,ult_2,ult_3,ult_4,ult_5,ult_6,ult_7,ult_8,ult_9,ult_10,ult_11,ult_12,ult_use_1,ult_use_2,ult_use_3,ult_use_4,ult_use_5,ult_use_6,ult_use_7,ult_use_8,ult_use_9,ult_use_10,ult_use_11,ult_use_12,elim_1,elim_2,elim_3,elim_4,elim_5,elim_6,elim_7,elim_8,elim_9,elim_10,elim_11,elim_12
,c,-1,-1,-1,pharah,5,30,-1,-1,-1,19,8,11,29,-1,0,30,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,c,-1,-1,-1,reaper,5,30,-1,-1,-1,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,c,-1,-1,-1,reinhardt,5,30,-1,-1,-1,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,c,-1,-1,-1,roadhog,5,30,-1,-1,-1,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,c,-1,-1,-1,sigma,5,30,-1,-1,-1,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,c,-1,-1,-1,soldier76,5,30,-1,-1,-1,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,c,-1,-1,-1,sombra,5,30,-1,-1,-1,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,c,-1,-1,-1,symmetra,5,30,-1,-1,-1,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,c,-1,-1,-1,torbjorn,5,30,-1,-1,-1,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,c,-1,-1,-1,tracer,5,30,-1,-1,-1,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,c,-1,-1,-1,widowmaker,5,30,-1,26,-1,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,c,-1,-1,-1,winston,5,30,-1,26,-1,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,c,-1,-1,-1,wreckingball,5,30,-1,26,-1,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,c,-1,-1,-1,zarya,5,30,-1,26,-1,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,c,-1,-1,-1,zenyatta,5,30,-1,26,-1,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,c,-1,-1,-1,,5,30,-1,26,-1,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,c,-1,-1,-1,,5,30,-1,26,-1,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,c,-1,-1,-1,,5,30,-1,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,c,-1,-1,-1,,5,30,-1,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,c,-1,-1,-1,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,c,-1,-1,-1,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,c,-1,-1,-1,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,c,-1,-1,-1,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,c,-1,-1,-1,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,c,-1,-1,-1,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,c,-1,-1,-1,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,c,-1,-1,-1,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,c,-1.0,-1,-1,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,c,-1.0,-1,-1,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
,c,-1,-1,-1,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,
,c,-1,-1,-1,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,2,1,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,
,c,-1,-1,-1,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,2,2,1,3,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,
,c,-1,-1,-1,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,6,1,2,2,1,5,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,
,c,-1,-1,-1,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,9,1,3,2,1,8,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,
,c,-1,-1,-1,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,22,1,3,3,1,9,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,
,c,-1,-1,-1,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,1,1,1,1,3,2,4,22,2,3,3,2,9,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,
,c,-1,-1,-1,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,22,2,4,3,5,9,4,3,5,,,,,,,,,,,,,,,,,,,,,,,,
,c,-1,-1,-1,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,1,1,1,1,4,5,6,23,3,4,4,8,13,5,3,8,,,,,,,,,,,,,,,,,,,,,,,,
,c,-1,-1,-1,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,0,1,1,1,1,1,1,1,4,5,8,24,3,4,4,11,20,5,6,8,,,,,,,,,,,,,,,,,9,,,,,,,
,c,-1,-1,-1,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,0,1,1,1,1,1,1,1,6,6,12,27,4,5,6,11,22,5,6,9,,,,,,,,,,,,,,,,,,,,,,,,
,c,-1,-1,-1,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,0,1,1,1,1,1,1,1,7,6,14,28,4,5,6,11,29,6,6,9,,,,,,,,,,,,,,,,,,,,,,,,
,c,-1,-1,-1,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,0,1,1,1,1,1,1,1,14,9,17,36,4,5,7,13,32,12,8,11,,,,,,,,,,,,,,,,,,,,,,,,
,c,-1,-1,-1,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,0,1,1,1,1,1,1,1,16,14,18,36,4,6,13,14,32,16,9,14,,,,,,,,,,,,,,,,,,,,,,,,
,c,-1,-1,-1,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,0,1,1,1,1,1,1,1,16,19,21,44,4,6,14,18,32,18,12,19,,,,,,,,,,,,,,,,,,,,,,,,
,c,-1,-1,-1,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,0,1,1,1,1,1,1,1,16,21,24,51,5,6,16,24,33,18,12,19,,,,,,,,,,,,,,,,,,,,,,,,
,c,-1,-1,-1,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,0,1,1,1,1,1,1,1,19,28,31,52,5,7,16,25,36,24,13,22,,,,,,,,,,,,,,,,,,,,,,,,
,c,-1,-1,-1,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,0,1,1,1,1,1,1,1,19,28,36,52,5,7,20,26,37,27,13,22,,,,,,,,,,,,,,,,,,,,,,,,
,c,-1,-1,-1,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,0,1,1,1,1,1,1,1,19,31,41,53,5,20,23,28,37,28,16,22,,,,,,,,,,,,,,,,,,,,,,,,
,c,-1,-1,-1,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,1,1,1,1,20,34,42,53,5,21,27,29,37,28,21,29,,,,,,,,,,,,,,,,,,,,,,,,
,c,-1,-1,-1,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,1,0,1,1,20,34,43,53,5,21,29,30,38,28,24,31,,,,,,,,,,,,,,,,,,,,,,6,,
,c,-1,-1,-1,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,1,0,1,1,20,34,44,54,6,21,29,31,38,29,25,31,,,,,,,,,,,,,,,,,,,,,,,,
,c,-1,-1,-1,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,1,0.0,1,1,23,36,45,54,6,22,29,32,38,29,27,34,,,,,,,,,,,,,,,,,,,,,,,,
,c,-1,-1,-1,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,1,0.0,1,1,23,37,47,60,6,22,29,33,39,30,31,34,,,,,,,,,,,,,,,,,,,,,,,,
,c,0,0,0,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,1,0.0,1,1,24,37,49,61,6,22,30,34,44,30,31,34,,,,,,,,,,,,,,,,,,,,,,,,
,c,0,0,0,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,1,0.0,1,1,24,37,50,61,6,23,30,35,44,30,32,35,,,,,,,,,,,,,,,,,,,,,,,,
,c,0,0,0,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,1,0,1,1,24,37,54,66,6,23,30,35,44,31,32,40,,,,,,,,,,,,,,,,,,,,,,,,
,c,0,0,0,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,1,0,1,1,25,38,57,67,7,23,31,35,45,31,32,40,,,,,,,,,,,,,,,,,,,,,,,,
,c,0,0,0,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,1,1,1,1,26,39,58,67,7,24,31,35,45,31,32,44,,,,,,,,,,,,,,,,,,,,,,,,
,c,0,0,0,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,1,1,1,1,26,39,62,70,7,24,33,36,48,32,32,46,,,,,,,,,,,,,,,,,,,,,,,,
,c,0,0,0,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,1,1,1,1,26,39,64,70,8,24,38,36,51,32,33,47,,,,,,,,,,,,,,,,,,,,,,,,
,c,0,0,0,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,1,1,1,1,31,39,68,71,8,25,38,37,54,32,34,48,,,,,,,,,,,,,,,,,,,,,,,,
,c,0,0,0,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,0,1,1,1,1,1,36,40,69,76,9,25,43,38,58,33,35,52,,,,,,,,,,,,,,,,,,,1,,,,,
,c,0,0,0,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,0,1,1,1,1,1,36,40,70,76,11,25,44,38,61,33,35,53,,,,,,,,,,,,,,,,,,,,,,,,
,c,0,0,0,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,0,1,1,1,1,1,36,40,70,76,13,25,44,40,62,33,35,53,,,,,,,,,,,,,,,,,,,,,,,,
,c,0,0,0,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,0,1,1,1,1,1,37,40,70,86,17,26,44,40,63,34,35,53,,,,,,,,,,,,,,,,,,,,,,,,
,c,0,0,0,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,0,1,1,1,1,1,40,42,71,88,21,26,45,41,64,34,36,53,,,,,,,,,,,,,,,,,,,,,,,,
,c,0,0,0,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,0,1,1,1,1,1,40,46,75,89,24,26,45,42,64,35,37,54,,,,,,,,,,,,,,,,,,,,,,,,
,c,0,0,0,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,0,1,1,1,1,1,41,48,77,89,27,27,45,43,65,35,42,56,,,,,,,,,,,,,,,,,,,,,,,,
,c,0,0,0,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,0,1.0,1,1,1,1,41,48,80,90,28,27,46,44,65,35,43,61,,,,,,,,,,,,,,,,,,,,,,,,
,c,0,0,0,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,0,1.0,1,1,1,1,42,49,83,90,29,32,46,44,66,36,43,64,,,,,,,,,,,,,,,,,,,,,,,,
,c,0,0,0,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,0,1,1,1,1,1,42,49,87,90,30,33,46,44,67,36,48,68,,,,,,,,,,,,,,,,,,,,,,,,
,c,0,0,0,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,1,0,1,1,1,1,43,51,89,91,31,33,46,44,68,36,54,68,,,,,,,,,,,,,,,,,,,,1,,,,
,c,0,0,0,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,1,0,1,1,1,1,43,55,91,93,32,39,47,45,69,37,54,68,,,,,,,,,,,,,,,,,,,,,,,,
,c,0,0,0,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,1,0,1,1,1,1,43,55,92,93,32,40,47,45,70,37,54,69,,,,,,,,,,,,,,,,,,,,,,,,
,c,0,0,0,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,1,0,1,1,1,1,46,55,92,93,32,40,47,45,76,37,55,71,,,,,,,,,,,,,,,,,,,,,,,,
,c,1,0,0,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,1,0,1,1,1,1,53,55,92,94,33,40,48,45,80,40,58,72,,,,,,,,,,,,,,,,,,,,,,,,
,c,1,1,0,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,1,0,1,1,1,1,54,60,93,94,35,41,48,45,80,44,61,79,,,,,,,,,,,,,,,,,,,,,,,,
,c,1,2,0,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,1,0,1,1,1,1,54,60,97,95,36,41,48,45,80,45,64,80,,,,,,,,,,,,,,,,,,,,,,,,
,c,1,3,0,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,1,0,1,1,1,1,54,63,99,95,38,41,48,46,81,45,64,80,,,,,,,,,,,,,,,,,,,,,,,,
,c,1,4,0,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,1,1,1,1,55,65,99,97,39,42,49,46,81,45,65,81,,,,,,,,,,,,,,,,,,,,,,,,
,c,1,4,0,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,1,1,1,1,55,65,100,100,40,42,49,46,81,48,65,81,,,,,,,,,,,,,,,,,,,,,,,,
,c,1,5,0,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,1,1,1,1,55,66,100,100,47,42,51,46,100,48,65,81,,,,,,,,,,,,,,,,,,,,,,,,
,c,1,6,0,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,1,1,1,1,56,66,100,100,51,43,51,46,100,48,65,82,,,,,,,,,,,,,,,,,,,,,,,,
,c,1,7,0,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,1,1,1,1,56,66,100,100,53,43,51,46,100,49,66,82,,,,,,,,,,,,,,,,,,,,,,,,
,c,1,8,0,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,1,0,1,1,59,66,100,100,53,43,52,47,100,49,66,82,,,,,,,,,,,,,,,,,,,,,,4,,
,c,1,9,0,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,1,0,1,1,62,67,100,100,54,44,52,47,100,49,66,82,,,,,,,,,,,,,,,,,,,,,,,,
,c,1,9,0,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,1,0,1,1,66,67,100,100,54,44,52,47,100,50,66,84,,,,,,,,,,,,,,,,,,,,,,,,
,c,1,10,0,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,1,0,1,1,76,67,100,100,56,44,53,47,100,50,67,84,,,,,,,,,,,,,,,,,,,,,,,,
,c,1,11,0,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,1,0,1,1,80,69,100,100,57,45,53,48,100,50,67,88,,,,,,,,,,,,,,,,,,,,,,,,
,c,1,12,0,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,1,0,1,1,80,72,100,100,58,45,55,49,100,51,67,92,,,,,,,,,,,,,,,,,,,,,,,,
,c,1,13,0,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,0,0,1,1,80,72,100,100,59,45,57,51,100,51,67,93,,,,,,,,,,,,,,,,,,,,,4,,,
,c,1,14,0,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,0,0,1,1,81,72,100,100,60,46,57,52,100,51,68,98,,,,,,,,,,,,,,,,,,,,,,,,
,c,1,15,0,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,0,0,1,1,81,72,100,100,61,46,59,55,100,52,70,98,,,,,,,,,,,,,,,,,,,,,,,,
,c,1,15,0,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,0,0,1,1,81,73,100,0,63,46,59,59,100,52,71,100,,,,1,,,,,,,,,,,,,,,,,,,,
,c,1,16,0,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,0,1,1,1,86,73,100,0,65,47,60,60,100,53,72,100,,,,,,,,,,,,,,,,,,,,,,,,
,c,1,17,0,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,0,1,1,1,88,73,100,2,66,47,62,61,100,53,72,100,,,,,,,,,,,,,,,,,,,,,,,,
,c,1,18,0,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,1,1,0,1,1,1,91,73,100,2,67,47,62,61,100,53,74,100,,,,,,,,,,,,,,,,,,,,,,,,
,c,1,19,0,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,0,1,1,1,1,0,1,1,1,91,74,100,2,67,48,62,62,100,54,74,100,,,,,,,,,,,,,,,,8,,,,,,,,
,c,1,19,0,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,0,1,1,1,1,0,1,1,1,92,74,100,3,67,48,66,62,100,54,75,100,,,,,,,,,,,,,,,,,,,,,,,,
,c,1,20,0,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,0,1,1,1,1,1,1,1,1,92,79,100,3,69,48,66,62,100,54,75,100,,,,,,,,,,,,,,,,,,,,,,,,
,c,1,21,0,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,0,1,1,1,1,1,1,1,1,92,80,100,4,70,49,66,63,100,55,75,100,,,,,,,,,,,,,,,,,,,,,,,,
,c,1,22,0,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,0,1,1,1,1,1,1,1,1,92,86,100,4,71,49,66,64,100,55,77,100,,,,,,,,,,,,,,,,,,,,,,,,
,c,1,23,0,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,0,1,1,1,1,1,1,1,1,93,91,100,4,72,49,67,65,100,55,79,100,,,,,,,,,,,,,,,,,,,,,,,,
,c,1,24,0,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,0.0,1,1,1,1,1,1,1,1,94,91,100,5,72,50,67,65,100,56,79,100,,,,,,,,,,,,,,,,,,,,,,,,
,c,1,24,0,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,0.0,1,1,1,1,1,1,1,1,94,100,100,5,73,50,71,66,100,56,83,1,,,,,,,,,,,,1,,,,,,,,,,,,
,c,1,25,0,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,0,1,1,1,1,1,1,1,1,94,100,100,6,73,50,72,66,100,56,86,2,,,,,,,,,,,,,,,,,,,,,,,,
,c,1,26,0,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,0,1,1,1,1,1,1,1,1,95,100,100,6,74,50,75,67,100,57,87,2,,,,,,,,,,,,,,,,,,,,,,,,
,c,1,27,0,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,1,0,1,1,1,1,100,100,100,6,74,82,78,69,100,59,100,4,,,,,,,,,,,,,,,,,,,,6,,,,
,c,1,28,0,,5,30,15,26,11,19,8,11,29,23,0,30,1,1,1,1,1,1,1,0,1,0,0,1,100,100,100,7,78,88,80,69,100,60,100,9,,,,,,,,,,,,,,,,,,,,,,1,1,
