type,status,progress,heroes,hero_1,hero_2,hero_3,hero_4,hero_5,hero_6,hero_7,hero_8,hero_9,hero_10,hero_11,hero_12,health_1,health_2,health_3,health_4,health_5,health_6,health_7,health_8,health_9,health_10,health_11,health_12,ult_1,ult_2,ult_3,ult_4,ult_5,ult_6,ult_7,ult_8,ult_9,ult_10,ult_11,ult_12,ult_use_1,ult_use_2,ult_use_3,ult_use_4,ult_use_5,ult_use_6,ult_use_7,ult_use_8,ult_use_9,ult_use_10,ult_use_11,ult_use_12,elim_1,elim_2,elim_3,elim_4,elim_5,elim_6,elim_7,elim_8,elim_9,elim_10,elim_11,elim_12
,1,0,,0,27,22,11,29,30,0,6,28,4,26,8,1,1,1,1,1,1,1,1,1,1,1,1,3,0,1,0,0,0,0,3,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,
,1,0,,0,27,22,11,29,30,0,6,28,4,26,8,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,0,0,4,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,
,1,0,,0,27,22,11,29,30,0,6,28,4,26,8,1,1,1,1,1,1,1,1,1,1,1,1,4,1,2,1,1,2,1,5,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,,0,27,22,11,29,30,0,6,28,4,26,8,1,1,1,1,1,1,1,1,1,1,1,1,4,1,2,2,1,2,1,5,1,3,2,5,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,,0,27,22,11,29,30,0,6,28,4,26,8,1,1,1,1,1,1,1,1,1,1,1,1,4,2,4,2,2,2,3,5,2,4,2,5,,,,,,,,,,,,,,,,,,,,,,,,
,1,3,,0,27,22,11,29,30,0,6,28,4,26,8,1,1,1,1,1,1,1,1,1,1,1,1,4,2,6,4,2,2,3,6,2,4,3,7,,,,,,,,,,,,,,,,,,,,,,,,
,1,4,,0,27,22,11,29,30,0,6,28,4,26,8,1,1,1,1,1,1,1,1,1,1,1,1,5,2,7,5,2,3,6,6,2,4,6,7,,,,,,,,,,,,,,,,,,,,,,,,
,1,4,,0,27,22,11,29,30,0,6,28,4,26,8,1,1,1,1,1,1,1,1,1,1,1,1,5,3,13,6,3,3,7,9,3,4,6,7,,,,,,,,,,,,,,,,,,,,,,,,
,1,5,,0,27,22,11,29,30,0,6,28,4,26,8,1,1,1,1,1,1,1,1,1,1,1,1,5,18,22,6,3,4,7,11,3,4,6,8,,,,,,,,,,,,,,,,,,,,,,,,
,1,5,,0,27,22,11,29,30,0,6,28,4,26,8,1,1,1,1,1,1,1,1,1,1,1,1,8,18,22,7,3,5,7,11,3,5,7,8,,,,,,,,,,,,,,,,,,,,,,,,
,1,5,,0,27,22,11,29,30,0,6,28,4,26,8,1,1,1,1,1,1,1,1,1,1,1,1,8,19,24,7,4,6,7,12,4,7,7,8,,,,,,,,,,,,,,,,,,,,,,,,
,1,5,,0,27,22,11,29,30,0,6,28,4,26,8,1,1,1,1,1,1,1,1,1,1,1,1,8,19,24,7,4,6,7,12,4,9,8,14,,,,,,,,,,,,,,,,,,,,,,,,
,1,6,,0,27,22,11,29,30,0,6,28,4,26,8,1,1,1,1,1,1,1,1,1,1,1,1,12,19,24,8,4,6,8,13,4,9,8,14,,,,,,,,,,,,,,,,,,,,,,,,
,1,6,,0,27,22,11,29,30,0,6,28,4,26,8,1,1,1,1,1,1,1,1,1,1,1,1,12,20,24,9,5,8,11,14,5,9,8,14,,,,,,,,,,,,,,,,,,,,,,,,
,1,6,,0,27,22,11,29,30,0,6,28,4,26,8,1,1,1,1,1,1,1,1,1,1,1,1,13,20,25,9,5,10,15,15,5,9,13,15,,,,,,,,,,,,,,,,,,,,,,,,
,1,7,,0,27,22,11,29,30,0,6,28,4,26,8,1,1,1,1,1,1,1,1,1,1,1,1,14,27,26,9,9,13,17,16,5,10,18,15,,,,,,,,,,,,,,,,,,,,,,,,
,1,7,,0,27,22,11,29,30,0,6,28,4,26,8,1,1,1,1,1,1,1,1,1,1,1,1,18,27,26,9,9,14,19,16,6,10,18,15,,,,,,,,,,,,,,,,,,,,,,,,
,1,8,,0,27,22,11,29,30,0,6,28,4,26,8,1,1,1,1,1,1,1,1,1,1,1,1,19,33,35,10,9,14,19,17,8,10,18,15,,,,,,,,,,,,,,,,,,,,,,,,
,1,8,,0,27,22,11,29,30,0,6,28,4,26,8,1,1,1,1,1,1,1,1,1,1,1,1,19,36,35,11,10,14,19,17,9,10,19,16,,,,,,,,,,,,,,,,,,,,,,,,
,1,8,,0,27,22,11,29,30,0,6,28,4,26,8,1,1,1,1,1,1,1,1,1,1,1,1,22,36,36,11,10,14,20,20,9,10,19,16,,,,,,,,,,,,,,,,,,,,,,,,
,1,8,,0,27,22,11,29,30,0,6,28,4,26,8,1,1,1,1,1,1,1,1,0,1,1,1,23,36,36,13,10,15,23,21,9,10,29,29,,,,,,,,,,,,,,,,,,,,,6,,,
,1,8,,0,27,22,11,29,30,0,6,28,4,26,8,1,1,1,1,1,1,1,1,0,1,1,1,23,37,36,13,11,15,30,22,10,11,29,29,,,,,,,,,,,,,,,,,,,,,,,,
,1,8,,0,27,22,11,29,30,0,6,28,4,26,8,1,1,1,1,1,1,1,1,0,1,1,1,23,37,36,14,11,17,30,23,10,11,36,30,,,,,,,,,,,,,,,,,,,,,,,,
,1,9,,0,27,22,11,29,30,0,6,28,4,26,8,1,1,1,1,1,1,1,1,0,1,1,1,23,37,37,14,11,21,31,24,10,11,36,30,,,,,,,,,,,,,,,,,,,,,,,,
,1,9,,0,27,22,11,29,30,0,6,28,4,26,8,1,1,1,1,1,1,1,1,0,1,1,1,26,38,39,15,12,21,34,24,11,12,37,30,,,,,,,,,,,,,,,,,,,,,,,,
,1,10,,0,27,22,11,29,30,0,6,28,4,26,8,1,1,1,1,1,1,1,1,0,1,1,1,30,38,40,16,12,21,35,25,11,14,42,31,,,,,,,,,,,,,,,,,,,,,,,,
,1,11,,0,27,22,11,29,30,0,6,28,4,26,8,1,1,1,1,1,1,1,1,0,1,1,1,33,38,42,16,12,22,38,25,11,15,42,31,,,,,,,,,,,,,,,,,,,,,,,,
,1,11,,0,27,22,11,29,30,0,6,28,4,26,8,1,1,1,1,1,1,1,1,0,1,1,1,34,39,44,17,13,22,43,26,11,16,43,31,,,,,,,,,,,,,,,,,,,,,,,,
,1,12,,0,27,22,11,29,30,0,6,28,4,26,8,1,1,1,1,1,1,1,1,0,1,1,1,37,45,45,21,15,22,45,27,12,16,43,31,,,,,,,,,,,,,,,,,,,,,,,,
,1,12,,0,27,22,11,29,30,0,6,28,4,26,8,1,1,1,1,1,1,1,1,0,1,1,1,39,45,51,22,15,22,45,28,12,18,44,32,,,,,,,,,,,,,,,,,,,,,,,,
,1,13,,0,27,22,11,29,30,0,6,28,4,26,8,1,1,1,1,1,1,1,1,1,1,1,1,42,53,51,23,15,22,46,29,12,20,44,32,,,,,,,,,,,,,,,,,,,,,,,,
,1,14,,0,27,22,11,29,30,0,6,28,4,26,8,1,1,1,1,1,1,1,1,1,1,1,1,43,66,52,23,16,23,46,29,13,20,44,32,,,,,,,,,,,,,,,,,,,,,,,,
,1,14,,0,27,22,11,29,30,0,6,28,4,26,8,1,1,1,1,1,1,1,1,1,1,1,1,43,66,52,23,16,23,48,29,13,20,45,33,,,,,,,,,,,,,,,,,,,,,,,,
,1,15,,0,27,22,11,29,30,0,6,28,4,26,8,1,1,1,1,1,1,1,1,1,1,1,1,43,66,52,24,16,23,52,30,13,21,45,36,,,,,,,,,,,,,,,,,,,,,,,,
,1,15,,0,27,22,11,29,30,0,6,28,4,26,8,1,1,1,1,1,1,1,1,1,1,1,1,43,67,53,24,30,23,56,30,14,21,46,37,,,,,,,,,,,,,,,,,,,,,,,,
,1,15,,0,27,22,11,29,30,0,6,28,4,26,8,1,1,1,1,1,1,1,1,1,1,1,1,44,67,53,25,31,25,62,30,14,21,46,37,,,,,,,,,,,,,,,,,,,,,,,,
,1,15,,0,27,22,11,29,30,0,6,28,4,26,8,1,1,1,1,1,1,1,1,1,1,1,1,44,67,54,25,34,29,63,31,14,23,52,37,,,,,,,,,,,,,,,,,,,,,,,,
,1,15,,0,27,22,11,29,30,0,6,28,4,26,8,1,1,1,1,1,1,1,1,1,1,1,1,44,69,54,25,35,33,68,31,15,26,53,37,,,,,,,,,,,,,,,,,,,,,,,,
,1,15,,0,27,22,11,29,30,0,6,28,4,26,8,1,1,1,1,1,1,1,1,1,1,1,1,44,70,54,26,37,38,73,31,15,30,53,38,,,,,,,,,,,,,,,,,,,,,,,,
,1,15,,0,27,22,11,29,30,0,6,28,4,26,8,1,1,1,1,1,1,1,1,1,1,1,1,48,70,54,29,38,38,78,32,15,32,55,38,,,,,,,,,,,,,,,,,,,,,,,,
,1,15,,0,27,22,11,29,30,0,6,28,4,26,8,1,1,1,1,1,1,1,1,1,1,1,1,48,70,54,29,40,39,81,32,16,35,55,38,,,,,,,,,,,,,,,,,,,,,,,,
,1,15,,0,27,22,11,29,30,0,6,28,4,26,8,1,1,1,1,1,1,1,1,1,1,1,1,49,71,55,29,40,39,83,33,16,38,55,39,,,,,,,,,,,,,,,,,,,,,,,,
,1,16,,0,27,22,11,29,30,0,6,28,4,26,8,1,1,1,1,1,1,1,1,1,1,1,1,49,71,55,30,41,39,84,33,16,40,56,39,,,,,,,,,,,,,,,,,,,,,,,,
,1,16,,0,27,22,11,29,30,0,6,28,4,26,8,1,1,1,1,1,1,1,1,1,1,1,1,49,71,56,30,41,42,84,38,17,44,56,39,,,,,,,,,,,,,,,,,,,,,,,,
,1,16,,0,27,22,11,29,30,0,6,28,4,26,8,1,1,1,1,1,1,1,1,1,1,1,1,50,72,60,30,41,43,84,38,18,46,57,40,,,,,,,,,,,,,,,,,,,,,,,,
,1,16,,0,27,22,11,29,30,0,6,28,4,26,8,1,1,1,1,1,1,1,1,1,1,1,1,50,72,61,31,47,43,84,38,19,48,57,40,,,,,,,,,,,,,,,,,,,,,,,,
,1,16,,0,27,22,11,29,30,0,6,28,4,26,8,1,1,1,1,1,1,1,1,1,1,1,1,50,75,61,32,47,44,86,41,20,49,67,40,,,,,,,,,,,,,,,,,,,,,,,,
,1,17,,0,27,22,11,29,30,0,6,28,4,26,8,1,1,1,1,1,1,1,1,1,1,1,1,50,76,61,32,47,47,86,48,20,52,70,42,,,,,,,,,,,,,,,,,,,,,,,,
,1,17,,0,27,22,11,29,30,0,6,28,4,26,8,1,1,1,1,1,1,1,1,1,1,1,1,51,76,62,33,48,48,86,48,20,55,73,46,,,,,,,,,,,,,,,,,,,,,,,,
,1,18,,0,27,22,11,29,30,0,6,28,4,26,8,1,1,0,1,1,1,1,1,1,1,1,1,51,82,62,33,48,48,87,48,21,56,78,46,,,,,,,,,,,,,,,11,,,,,,,,,
,1,19,,0,27,22,11,29,30,0,6,28,4,26,8,1,1,0,1,1,1,1,1,1,1,1,1,51,87,62,37,48,49,89,49,21,56,78,46,,,,,,,,,,,,,,,,,,,,,,,,
,1,20,,0,27,22,11,29,30,0,6,28,4,26,8,1,1,0,1,1,1,1,1,1,1,1,1,51,87,62,38,49,49,90,50,21,57,80,48,,,,,,,,,,,,,,,,,,,,,,,,
,1,20,,0,27,22,11,29,30,0,6,28,4,26,8,1,1,0,1,1,1,1,1,1,1,1,1,52,87,63,38,49,49,91,51,22,57,80,49,,,,,,,,,,,,,,,,,,,,,,,,
,1,21,,0,27,22,11,29,30,0,6,28,4,26,8,1,1,0,1,1,1,1,1,1,1,1,1,52,88,63,39,50,50,92,52,22,57,81,50,,,,,,,,,,,,,,,,,,,,,,,,
,1,21,,0,27,22,11,29,30,0,6,28,4,26,8,1,1,0,1,1,1,1,1,1,1,1,1,52,88,63,40,50,53,94,53,25,59,81,50,,,,,,,,,,,,,,,,,,,,,,,,
,1,22,,0,27,22,11,29,30,0,6,28,4,26,8,1,1,0,1,1,1,1,1,1,1,1,1,52,89,63,46,50,58,95,55,27,61,86,50,,,,,,,,,,,,,,,,,,,,,,,,
,1,23,,0,27,22,11,29,30,0,6,28,4,26,8,0,1,0,1,1,1,1,1,1,1,1,1,52,92,63,47,51,64,98,57,27,61,86,54,,,,,,,,,,,,,11,,,,,,,,,,,
,1,23,,0,27,22,11,29,30,0,6,28,4,26,8,0,1,0,1,1,1,1,1,1,1,1,1,53,92,64,47,51,70,100,58,28,62,90,61,,,,,,,,,,,,,,,,,,,,,,,,
,1,23,,0,27,22,11,29,30,0,6,28,4,26,8,0,0,0,1,1,1,1,1,1,1,1,1,53,93,64,47,51,70,100,60,29,62,94,62,,,,,,,,,,,,,,12,,,,,,,,,,
,1,23,,0,27,22,11,29,30,0,6,28,4,26,8,0,0,1,1,1,1,1,1,1,1,1,1,53,93,64,48,52,70,100,61,29,62,97,63,,,,,,,,,,,,,,,,,,,,,,,,
,1,23,,0,27,22,11,29,30,0,6,28,4,26,8,0,0,1,0,1,1,1,1,1,1,1,1,53,93,64,48,52,71,100,62,30,64,99,63,,,,,,,,,,,,,,,,11,,,,,,,,
,1,23,,0,27,22,11,29,30,0,6,28,4,26,8,0,0,1,0,1,1,1,1,1,1,1,1,54,94,64,48,52,75,100,62,30,68,100,71,,,,,,,,,,,,,,,,,,,,,,,,
,1,23,,0,27,22,11,29,30,0,6,28,4,26,8,0,0,1,0,1,0,1,1,1,1,1,1,54,94,65,48,59,76,100,62,30,71,100,71,,,,,,,,,,,,,,,,,,11,,,,,,
,1,23,,0,27,22,11,29,30,0,6,28,4,26,8,0,0,1,0,1,0,1,1,1,1,1,1,54,94,65,49,59,76,100,63,31,73,100,72,,,,,,,,,,,,,,,,,,,,,,,,
,1,23,,0,27,22,11,29,30,0,6,28,4,26,8,0,0,1,0,1,0,1,1,1,1,1,1,54,95,65,49,63,76,100,66,31,75,100,72,,,,,,,,,,,,,,,,,,,,,,,,
,1,24,,0,27,22,11,29,30,0,6,28,4,26,8,1,0,1,0,1,0,1,1,1,1,1,1,55,95,65,49,63,76,100,72,32,78,100,72,,,,,,,,,,,,,,,,,,,,,,,,
,1,24,,0,27,22,11,29,30,0,6,28,4,26,8,1,0,1,0,1,0,1,1,1,1,1,1,55,95,66,49,64,77,100,76,32,79,100,74,,,,,,,,,,,,,,,,,,,,,,,,
,1,25,,0,27,22,11,29,30,0,6,28,4,26,8,1,0,1,0,0,0,1,1,1,1,1,1,55,96,66,49,64,77,100,77,32,80,100,75,,,,,,,,,,,,,,,,,11,,,,,,,
,1,26,,0,27,22,11,29,30,0,6,28,4,26,8,1,1,1,0,0,0,1,1,1,1,1,1,55,0,66,49,64,77,100,78,33,80,100,75,,,,,,,,,,,,,,,,,,,,,,,,
,1,26,,0,26,22,11,29,30,0,6,28,4,26,8,1,1,1,0,0,0,1,1,1,1,1,1,56,0,66,50,65,77,100,78,33,80,100,75,,,,,,,,,,,,,,,,,,,,,,,,
,1,27,,0,26,22,11,29,30,0,6,28,4,26,8,1,1,1,1,0,0,1,1,1,1,1,1,56,0,66,50,65,77,100,78,33,80,100,75,,,,,,,,,,,,,,,,,,,,,,,,
,1,28,,0,26,22,11,29,30,0,6,28,4,26,8,1,1,1,1,0,0,1,1,1,1,1,1,56,1,67,50,65,78,100,78,34,80,100,76,,,,,,,,,,,,,,,,,,,,,,,,
,1,29,,0,26,22,11,29,30,0,6,28,4,26,8,1,1,1,1,0,1,1,1,1,1,1,1,56,1,67,50,66,78,100,79,34,80,100,76,,,,,,,,,,,,,,,,,,,,,,,,
,1,29,,0,26,22,11,29,30,0,6,28,4,26,8,1,1,1,1,0,1,1,1,1,1,1,1,57,1,69,50,66,78,100,79,34,81,100,76,,,,,,,,,,,,,,,,,,,,,,,,
,1,30,,0,26,22,11,29,30,0,6,28,4,26,8,1,1,1,1,0,1,1,1,1,1,1,1,57,2,70,50,66,78,100,80,35,81,100,77,,,,,,,,,,,,,,,,,,,,,,,,
,1,30,,0,26,22,11,29,30,0,6,28,4,26,8,1,1,1,1,0,1,1,1,1,1,1,1,57,4,70,51,66,79,100,80,35,81,100,79,,,,,,,,,,,,,,,,,,,,,,,,
